cell,concept,alpha,content_enjoyment,content_usefulness,production_complexity,production_quality
textemb_loc,piano,-0.2897,6.248377,7.218228,5.363664,7.123543
textemb_loc,piano,-0.269,6.258644,7.25514,5.368176,7.128262
textemb_loc,piano,-0.2483,6.322145,7.308178,5.408239,7.157552
textemb_loc,piano,-0.2276,6.390845,7.376015,5.410212,7.217733
textemb_loc,piano,-0.2069,6.503452,7.475403,5.459417,7.290508
textemb_loc,piano,-0.1862,6.555729,7.488226,5.455169,7.330736
textemb_loc,piano,-0.1655,6.738912,7.583639,5.476256,7.417632
textemb_loc,piano,-0.1449,6.804703,7.635215,5.513153,7.456777
textemb_loc,piano,-0.1242,6.724448,7.586989,5.461073,7.424008
textemb_loc,piano,-0.1035,6.75546,7.585048,5.494398,7.414266
textemb_loc,piano,-0.0828,6.719646,7.554896,5.49638,7.421072
textemb_loc,piano,-0.0621,6.732068,7.569875,5.498425,7.416552
textemb_loc,piano,-0.0414,6.715091,7.551652,5.510216,7.390174
textemb_loc,piano,-0.0207,6.710964,7.557953,5.516504,7.390133
textemb_loc,piano,0.0,6.749202,7.59597,5.500024,7.40565
textemb_loc,piano,0.0717,6.726747,7.566996,5.500833,7.379078
textemb_loc,piano,0.1433,6.770799,7.602449,5.517352,7.413606
textemb_loc,piano,0.215,6.781453,7.60134,5.507595,7.424282
textemb_loc,piano,0.2866,6.754948,7.60958,5.50026,7.431019
textemb_loc,piano,0.3583,6.761406,7.609208,5.502902,7.429515
textemb_loc,piano,0.43,6.767218,7.628906,5.495533,7.462382
textemb_loc,piano,0.5016,6.799786,7.62737,5.477572,7.454812
textemb_loc,piano,0.5733,6.801266,7.628267,5.46471,7.459508
textemb_loc,piano,0.6449,6.813162,7.637345,5.44522,7.483156
textemb_loc,piano,0.7166,6.849746,7.649486,5.434788,7.488027
textemb_loc,piano,0.7883,6.870096,7.674896,5.408179,7.512952
textemb_loc,piano,0.8599,6.880492,7.666978,5.364757,7.500444
textemb_loc,piano,0.9316,6.917784,7.713893,5.360961,7.52265
textemb_loc,piano,1.0032,6.989567,7.767581,5.299582,7.586925
textemb_loc,piano,1.0749,7.064904,7.825386,5.239261,7.647825
tokemb_all,piano,-1.7854,6.03978,7.292336,5.395,7.07367
tokemb_all,piano,-1.6664,6.083484,7.328763,5.403618,7.106346
tokemb_all,piano,-1.5473,6.187577,7.369872,5.433468,7.158991
tokemb_all,piano,-1.4283,6.189069,7.385916,5.399453,7.174993
tokemb_all,piano,-1.3093,6.230177,7.373215,5.428245,7.168412
tokemb_all,piano,-1.1903,6.282981,7.411991,5.437998,7.209348
tokemb_all,piano,-1.0712,6.31216,7.415312,5.443998,7.201465
